Plot,Sowing_Date,Harvest_Date,Yield,Latitude,Longitude,polygon_wkt
AEA1,10/05/2022,,3.83,12.97561,103.26437,"POLYGON ((103.26417817229203 12.97519445343122, 103.26416809966632 12.975240304313898, 103.26414260612877 12.975399890904898, 103.26407601870721 12.975858627488448, 103.26453996079279 12.97591242458291, 103.26464748930233 12.975209387853925, 103.26419526754005 12.975159937609225, 103.26417817229203 12.97519445343122))"
AEA1,15/10/2022,,5.36,12.97561,103.26437,"POLYGON ((103.26417817229203 12.97519445343122, 103.26416809966632 12.975240304313898, 103.26414260612877 12.975399890904898, 103.26407601870721 12.975858627488448, 103.26453996079279 12.97591242458291, 103.26464748930233 12.975209387853925, 103.26419526754005 12.975159937609225, 103.26417817229203 12.97519445343122))"
AEA10,10/05/2022,,2.48,12.97667,103.26358,"POLYGON ((103.26313192787157 12.976833827860233, 103.26362895692844 12.976899135916806, 103.26391192148515 12.976943499076853, 103.26400782463224 12.976556093082802, 103.2635106685577 12.976509152203612, 103.2631776190726 12.976477496077274, 103.26313192787157 12.976833827860233))"
AEA10,15/10/2022,,4.39,12.97667,103.26358,"POLYGON ((103.26313192787157 12.976833827860233, 103.26362895692844 12.976899135916806, 103.26391192148515 12.976943499076853, 103.26400782463224 12.976556093082802, 103.2635106685577 12.976509152203612, 103.2631776190726 12.976477496077274, 103.26313192787157 12.976833827860233))"
AEA100,18/09/2023,,4.5,12.97601,103.26825,"POLYGON ((103.2678891684858 12.975607427476898, 103.2678712588967 12.975969790761985, 103.2678589728117 12.976305565348008, 103.26845254778301 12.976374568341837, 103.26857121934275 12.975718154206607, 103.2678891684858 12.975607427476898))"
AEA100,20/05/2023,15/09/2023,6.2,12.97601,103.26825,"POLYGON ((103.2678891684858 12.975607427476898, 103.2678712588967 12.975969790761985, 103.2678589728117 12.976305565348008, 103.26845254778301 12.976374568341837, 103.26857121934275 12.975718154206607, 103.2678891684858 12.975607427476898))"
AEA100,25/05/2024,14/12/2024,6.49,12.97607,103.26814,"POLYGON ((103.2678891684858 12.975607427476898, 103.2678712588967 12.975969790761985, 103.2678589728117 12.976305565348008, 103.26845254778301 12.976374568341837, 103.26857121934275 12.975718154206607, 103.2678891684858 12.975607427476898))"
AEA100,27/09/2024,10/09/2024,6.24,12.97607,103.26814,"POLYGON ((103.2678891684858 12.975607427476898, 103.2678712588967 12.975969790761985, 103.2678589728117 12.976305565348008, 103.26845254778301 12.976374568341837, 103.26857121934275 12.975718154206607, 103.2678891684858 12.975607427476898))"
AEA101,15/05/2023,18/09/2023,5.83,12.9222,103.28479,"POLYGON ((103.28533527526625 12.922363744299199, 103.28539212898423 12.92228686096583, 103.2852641455942 12.922176963549555, 103.28550422843985 12.921673184834683, 103.28500123076196 12.92134119005949, 103.28494398075026 12.921402587207737, 103.28473885554253 12.921628441905973, 103.28443167039195 12.921982772261545, 103.28423309555585 12.922208210125534, 103.2845404792349 12.922466855349523, 103.28493414198348 12.922802352083288, 103.28501669968335 12.922709143626195, 103.28533527526625 12.922363744299199))"
AEA101,17/06/2024,04/10/2024,5,12.92203,103.28482,"POLYGON ((103.28533527526625 12.922363744299199, 103.28539212898423 12.92228686096583, 103.2852641455942 12.922176963549555, 103.28550422843985 12.921673184834683, 103.28500123076196 12.92134119005949, 103.28494398075026 12.921402587207737, 103.28473885554253 12.921628441905973, 103.28443167039195 12.921982772261545, 103.28423309555585 12.922208210125534, 103.2845404792349 12.922466855349523, 103.28493414198348 12.922802352083288, 103.28501669968335 12.922709143626195, 103.28533527526625 12.922363744299199))"
